timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight
16.0,V2V,vehicle_0,vehicle_1,-70.09,93.09,128.33,True
16.0,V2V,vehicle_0,vehicle_2,-75.22,98.22,231.57,True
16.0,V2V,vehicle_1,flow_east.0,-95.52,118.52,2395.57,True
16.0,V2V,vehicle_1,flow_west.0,-76.03,99.03,254.09,True
16.0,V2V,vehicle_1,vehicle_0,-70.09,93.09,128.33,True
16.0,V2V,vehicle_1,vehicle_2,-79.05,102.05,359.90,True
16.0,V2V,vehicle_2,flow_east.0,-94.10,117.10,2035.67,True
16.0,V2V,vehicle_2,flow_west.0,-83.69,106.69,613.86,True
16.0,V2V,vehicle_2,vehicle_0,-75.22,98.22,231.57,True
16.0,V2V,vehicle_2,vehicle_1,-79.05,102.05,359.90,True
17.0,V2I,BS_1,flow_west.0,-82.46,112.46,1193.17,True
17.0,V2I,BS_1,vehicle_0,-78.80,108.80,783.12,True
17.0,V2I,BS_1,vehicle_1,-79.90,109.90,888.72,True
17.0,V2I,BS_1,vehicle_2,-76.89,106.89,627.99,True
17.0,V2V,flow_west.0,vehicle_0,-81.75,104.75,491.08,True
17.0,V2V,flow_west.0,vehicle_1,-78.98,101.98,356.93,True
17.0,V2V,flow_west.0,vehicle_2,-85.09,108.09,721.18,True
17.0,V2V,vehicle_0,flow_west.0,-81.75,104.75,491.08,True
17.0,V2V,vehicle_0,vehicle_1,-70.48,93.48,134.20,True
17.0,V2V,vehicle_0,vehicle_2,-75.17,98.17,230.13,True
17.0,V2V,vehicle_1,flow_west.0,-78.98,101.98,356.93,True
17.0,V2V,vehicle_1,vehicle_0,-70.48,93.48,134.20,True
17.0,V2V,vehicle_1,vehicle_2,-79.16,102.16,364.33,True
17.0,V2V,vehicle_2,flow_west.0,-85.09,108.09,721.18,True
17.0,V2V,vehicle_2,vehicle_0,-75.17,98.17,230.13,True
17.0,V2V,vehicle_2,vehicle_1,-79.16,102.16,364.33,True
18.0,V2I,BS_1,flow_west.0,-82.80,112.80,1240.68,True
18.0,V2I,BS_1,vehicle_0,-78.36,108.36,744.20,True
18.0,V2I,BS_1,vehicle_1,-79.51,109.51,849.20,True
18.0,V2I,BS_1,vehicle_2,-76.46,106.46,598.01,True
18.0,V2V,flow_west.0,vehicle_0,-83.43,106.43,595.93,True
18.0,V2V,flow_west.0,vehicle_1,-81.15,104.15,458.12,True
18.0,V2V,flow_west.0,vehicle_2,-86.29,109.29,828.57,True
18.0,V2V,vehicle_0,flow_west.0,-83.43,106.43,595.93,True
18.0,V2V,vehicle_0,vehicle_1,-70.71,93.71,137.83,True
18.0,V2V,vehicle_0,vehicle_2,-75.26,98.26,232.67,True
18.0,V2V,vehicle_1,flow_west.0,-81.15,104.15,458.12,True
18.0,V2V,vehicle_1,vehicle_0,-70.71,93.71,137.83,True
18.0,V2V,vehicle_1,vehicle_2,-79.30,102.30,370.50,True
18.0,V2V,vehicle_2,flow_west.0,-86.29,109.29,828.57,True
18.0,V2V,vehicle_2,vehicle_0,-75.26,98.26,232.67,True
18.0,V2V,vehicle_2,vehicle_1,-79.30,102.30,370.50,True
19.0,V2I,BS_1,flow_west.0,-83.15,113.15,1291.36,True
19.0,V2I,BS_1,vehicle_0,-77.92,107.92,707.11,True
19.0,V2I,BS_1,vehicle_1,-79.11,109.11,811.47,True
19.0,V2I,BS_1,vehicle_2,-76.09,106.09,572.78,True
19.0,V2V,flow_west.0,vehicle_0,-84.88,107.88,703.75,True
19.0,V2V,flow_west.0,vehicle_1,-82.91,105.91,561.40,True
19.0,V2V,flow_west.0,vehicle_2,-87.36,110.36,936.76,True
19.0,V2V,vehicle_0,flow_west.0,-84.88,107.88,703.75,True
19.0,V2V,vehicle_0,vehicle_1,-71.00,94.00,142.37,True
19.0,V2V,vehicle_0,vehicle_2,-75.28,98.28,233.03,True
19.0,V2V,vehicle_1,flow_west.0,-82.91,105.91,561.40,True
19.0,V2V,vehicle_1,vehicle_0,-71.00,94.00,142.37,True
19.0,V2V,vehicle_1,vehicle_2,-79.42,102.42,375.40,True
19.0,V2V,vehicle_2,flow_west.0,-87.36,110.36,936.76,True
19.0,V2V,vehicle_2,vehicle_0,-75.28,98.28,233.03,True
19.0,V2V,vehicle_2,vehicle_1,-79.42,102.42,375.40,True
20.0,V2I,BS_1,flow_east.1,-85.01,115.01,1599.94,True
20.0,V2I,BS_1,flow_west.0,-83.47,113.47,1339.98,True
20.0,V2I,BS_1,flow_west.1,-89.98,119.98,504.51,False
20.0,V2I,BS_1,vehicle_0,-77.46,107.46,671.04,True
20.0,V2I,BS_1,vehicle_1,-78.70,108.70,773.43,True
