timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode
11.0,V2I,BS_1,flow_east.0,-84.17,114.17,1452.77,True,1,3.8282474331682285e-12,3.8282474331682285e-12,1.0,inf,inf,D
11.0,V2I,BS_1,flow_west.0,-80.16,110.16,914.99,True,1,9.638290236239705e-12,9.638290236239705e-12,1.0,inf,inf,D
11.0,V2I,BS_1,vehicle_0,-81.33,111.33,1047.98,True,1,7.362070974947376e-12,7.362070974947376e-12,1.0,inf,inf,D
11.0,V2I,BS_1,vehicle_1,-82.15,112.15,1150.79,True,1,6.095368972401693e-12,6.095368972401693e-12,1.0,inf,inf,D
11.0,V2I,BS_1,vehicle_2,-79.55,109.55,852.94,True,1,1.1091748152624008e-11,1.1091748152624008e-11,1.0,inf,inf,D
11.0,V2V,flow_east.0,flow_west.0,-94.46,117.46,2122.63,True,1,3.580964371026362e-13,3.580964371026362e-13,1.0,inf,inf,D
11.0,V2V,flow_east.0,vehicle_0,-95.06,118.06,2271.9,True,1,3.118889584093935e-13,3.118889584093935e-13,1.0,inf,inf,D
11.0,V2V,flow_east.0,vehicle_1,-95.49,118.49,2388.27,True,1,2.82487997491571e-13,2.82487997491571e-13,1.0,inf,inf,D
11.0,V2V,flow_east.0,vehicle_2,-94.12,117.12,2039.27,True,1,3.872576449216165e-13,3.872576449216165e-13,1.0,inf,inf,D
11.0,V2V,flow_west.0,flow_east.0,-94.46,117.46,2122.63,True,1,3.580964371026362e-13,3.580964371026362e-13,1.0,inf,inf,D
11.0,V2V,flow_west.0,vehicle_0,-71.43,94.43,149.68,True,1,7.194489780036983e-11,7.194489780036983e-11,1.0,inf,inf,D
11.0,V2V,flow_west.0,vehicle_1,-76.42,99.42,265.88,True,1,2.280342072000416e-11,2.280342072000416e-11,1.0,inf,inf,D
11.0,V2V,flow_west.0,vehicle_2,-66.41,89.41,84.01,True,1,2.2855988033754298e-10,2.2855988033754298e-10,1.0,inf,inf,D
11.0,V2V,vehicle_0,flow_east.0,-95.06,118.06,2271.9,True,1,3.118889584093935e-13,3.118889584093935e-13,1.0,inf,inf,D
