timestamp,vehicle_id,action_type,bs_id,relay_id,rate_shannon,rate_mcs,rate_dkmcs,truth_rate_mcs
3.0,ns_0,relay,BS_1,ns_1,672.9676377828757,440.00000000000006,240.0,440.00000000000006
3.0,ns_0,relay,BS_1,ns_2,662.112553574384,330.0,240.0,330.0
3.0,se_1,direct,BS_1,-1,60.37526992856823,38.0,15.0,38.0
3.0,se_1,relay,BS_1,sn_3,60.48895264594872,38.0,15.0,38.0
3.0,se_1,relay,BS_1,sn_2,62.798942660751024,38.0,15.0,38.0
3.0,se_1,relay,BS_1,se_0,63.033768764308846,38.0,15.0,38.0
3.0,se_1,relay,BS_1,sn_1,65.05813322796139,38.0,15.0,38.0
3.0,se_1,relay,BS_1,sn_0,67.25729895337729,38.0,15.0,38.0
3.0,sn_3,direct,BS_1,-1,60.48895264594872,38.0,15.0,38.0
3.0,sn_3,relay,BS_1,se_1,60.37526992856823,38.0,15.0,38.0
3.0,sn_3,relay,BS_1,sn_2,62.798942660751024,38.0,15.0,38.0
3.0,sn_3,relay,BS_1,se_0,63.033768764308846,38.0,15.0,38.0
3.0,sn_3,relay,BS_1,sn_1,65.05813322796139,38.0,15.0,38.0
3.0,sn_3,relay,BS_1,sn_0,67.25729895337729,38.0,15.0,38.0
3.0,wn_1,direct,BS_1,-1,60.71683494330471,38.0,15.0,38.0
3.0,wn_1,relay,BS_1,we_3,60.945407221103785,38.0,15.0,38.0
3.0,wn_1,relay,BS_1,we_2,63.033768764308846,38.0,15.0,38.0
3.0,wn_1,relay,BS_1,wn_0,63.38732007673663,38.0,15.0,38.0
3.0,wn_1,relay,BS_1,we_1,65.17879983734827,38.0,15.0,38.0
3.0,wn_1,relay,BS_1,we_0,67.25729895337729,38.0,15.0,38.0
3.0,we_2,direct,BS_1,-1,63.033768764308846,38.0,15.0,38.0
3.0,we_2,relay,BS_1,wn_0,63.38732007673663,38.0,15.0,38.0
3.0,we_2,relay,BS_1,we_1,65.17879983734827,38.0,15.0,38.0
3.0,we_2,relay,BS_1,we_3,60.945407221103785,38.0,15.0,38.0
3.0,we_2,relay,BS_1,wn_1,60.71683494330471,38.0,15.0,38.0
3.0,we_2,relay,BS_1,we_0,67.25729895337729,38.0,15.0,38.0
3.0,sn_2,direct,BS_1,-1,62.798942660751024,38.0,15.0,38.0
3.0,sn_2,relay,BS_1,se_0,63.033768764308846,38.0,15.0,38.0
3.0,sn_2,relay,BS_1,sn_1,65.05813322796139,38.0,15.0,38.0
3.0,sn_2,relay,BS_1,sn_3,60.48895264594872,38.0,15.0,38.0
3.0,sn_2,relay,BS_1,se_1,60.37526992856823,38.0,15.0,38.0
3.0,sn_2,relay,BS_1,sn_0,67.25729895337729,38.0,15.0,38.0
3.0,ns_2,direct,BS_1,-1,662.112553574384,330.0,240.0,330.0
3.0,ns_2,relay,BS_1,ns_1,672.9676377828757,440.00000000000006,240.0,440.00000000000006
3.0,ns_2,relay,BS_1,ns_0,668.6904315568678,440.00000000000006,240.0,440.00000000000006
3.0,sn_1,direct,BS_1,-1,65.05813322796139,38.0,15.0,38.0
3.0,sn_1,relay,BS_1,se_0,63.033768764308846,38.0,15.0,38.0
3.0,sn_1,relay,BS_1,sn_0,67.25729895337729,38.0,15.0,38.0
3.0,sn_1,relay,BS_1,sn_2,62.798942660751024,38.0,15.0,38.0
3.0,sn_1,relay,BS_1,sn_3,60.48895264594872,38.0,15.0,38.0
3.0,sn_1,relay,BS_1,se_1,60.37526992856823,38.0,15.0,38.0
3.0,we_0,direct,BS_1,-1,67.25729895337729,38.0,15.0,38.0
3.0,we_0,relay,BS_1,we_1,65.17879983734827,38.0,15.0,38.0
3.0,we_0,relay,BS_1,wn_0,63.38732007673663,38.0,15.0,38.0
3.0,we_0,relay,BS_1,we_2,63.033768764308846,38.0,15.0,38.0
3.0,we_0,relay,BS_1,wn_1,60.71683494330471,38.0,15.0,38.0
3.0,we_0,relay,BS_1,we_3,60.945407221103785,38.0,15.0,38.0
4.0,sn_4,direct,BS_1,-1,60.945407221103785,38.0,15.0,38.0
4.0,sn_4,relay,BS_1,se_2,59.922259011415186,38.0,15.0,38.0
4.0,sn_4,relay,BS_1,se_1,62.681791686998366,38.0,15.0,38.0
4.0,sn_4,relay,BS_1,sn_3,63.50552089154088,38.0,15.0,38.0
4.0,sn_4,relay,BS_1,se_0,65.42066409384284,38.0,15.0,38.0
4.0,sn_4,relay,BS_1,sn_2,65.78478973327206,38.0,15.0,38.0
4.0,we_3,direct,BS_1,-1,63.74244878612787,38.0,15.0,38.0
4.0,we_3,relay,BS_1,wn_1,63.033768764308846,38.0,15.0,38.0
4.0,we_3,relay,BS_1,wn_0,65.78478973327206,38.0,15.0,38.0
4.0,we_3,relay,BS_1,we_2,65.90651985453387,38.0,15.0,38.0
4.0,we_3,relay,BS_1,we_4,61.28956151939826,38.0,15.0,38.0
4.0,we_3,relay,BS_1,wn_2,60.26175933201269,38.0,15.0,38.0
4.0,wn_1,direct,BS_1,-1,63.033768764308846,38.0,15.0,38.0
4.0,wn_1,relay,BS_1,we_3,63.74244878612787,38.0,15.0,38.0
4.0,wn_1,relay,BS_1,we_4,61.28956151939826,38.0,15.0,38.0
4.0,wn_1,relay,BS_1,wn_0,65.78478973327206,38.0,15.0,38.0
4.0,wn_1,relay,BS_1,we_2,65.90651985453387,38.0,15.0,38.0
4.0,wn_1,relay,BS_1,wn_2,60.26175933201269,38.0,15.0,38.0
4.0,we_5,direct,BS_1,-1,59.35985579119316,38.0,15.0,38.0
4.0,we_5,relay,BS_1,wn_2,60.26175933201269,38.0,15.0,38.0
4.0,we_5,relay,BS_1,we_4,61.28956151939826,38.0,15.0,38.0
4.0,we_5,relay,BS_1,wn_1,63.033768764308846,38.0,15.0,38.0
4.0,we_5,relay,BS_1,we_3,63.74244878612787,38.0,15.0,38.0
4.0,we_5,relay,BS_1,wn_0,65.78478973327206,38.0,15.0,38.0
4.0,wn_2,direct,BS_1,-1,60.26175933201269,38.0,15.0,38.0
4.0,wn_2,relay,BS_1,we_5,59.35985579119316,38.0,15.0,38.0
4.0,wn_2,relay,BS_1,we_4,61.28956151939826,38.0,15.0,38.0
4.0,wn_2,relay,BS_1,wn_1,63.033768764308846,38.0,15.0,38.0
4.0,wn_2,relay,BS_1,we_3,63.74244878612787,38.0,15.0,38.0
4.0,wn_2,relay,BS_1,wn_0,65.78478973327206,38.0,15.0,38.0
4.0,ew_3,direct,BS_1,-1,670.6643745337896,440.00000000000006,240.0,440.00000000000006
4.0,ew_3,relay,BS_1,ew_2,679.8795046735685,440.00000000000006,240.0,440.00000000000006
4.0,ew_3,relay,BS_1,ew_4,663.4278874326816,330.0,240.0,330.0
