timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode
10.0,V2V,vehicle_2,flow_east.0,-94.11,117.11,2037.23,True,1,3.883136545689e-13,3.883136545689e-13,1.000000,inf,inf,D
10.0,V2V,vehicle_2,flow_west.0,-56.78,79.78,27.70,True,1,2.100023618998e-09,2.100023618998e-09,1.000000,inf,inf,D
10.0,V2V,vehicle_2,vehicle_0,-75.29,98.29,233.53,True,1,2.955061016951e-11,2.955061016951e-11,1.000000,inf,inf,D
10.0,V2V,vehicle_2,vehicle_1,-78.69,101.69,345.07,True,1,1.353499787934e-11,1.353499787934e-11,1.000000,inf,inf,D
11.0,V2I,BS_1,flow_east.0,-84.17,114.17,1452.77,True,1,3.827101622420e-12,3.827101622420e-12,1.000000,inf,inf,D
11.0,V2I,BS_1,flow_west.0,-80.16,110.16,914.99,True,1,9.647805944428e-12,9.647805944428e-12,1.000000,inf,inf,D
11.0,V2I,BS_1,vehicle_0,-81.33,111.33,1047.98,True,1,7.354598824611e-12,7.354598824611e-12,1.000000,inf,inf,D
11.0,V2I,BS_1,vehicle_1,-82.15,112.15,1150.79,True,1,6.099151407393e-12,6.099151407393e-12,1.000000,inf,inf,D
11.0,V2I,BS_1,vehicle_2,-79.55,109.55,852.94,True,1,1.110257746251e-11,1.110257746251e-11,1.000000,inf,inf,D
11.0,V2V,flow_east.0,flow_west.0,-94.46,117.46,2122.63,True,1,3.576983379331e-13,3.576983379331e-13,1.000000,inf,inf,D
11.0,V2V,flow_east.0,vehicle_0,-95.06,118.06,2271.90,True,1,3.122380213657e-13,3.122380213657e-13,1.000000,inf,inf,D
11.0,V2V,flow_east.0,vehicle_1,-95.49,118.49,2388.27,True,1,2.825521230823e-13,2.825521230823e-13,1.000000,inf,inf,D
11.0,V2V,flow_east.0,vehicle_2,-94.12,117.12,2039.27,True,1,3.875396729474e-13,3.875396729474e-13,1.000000,inf,inf,D
11.0,V2V,flow_west.0,flow_east.0,-94.46,117.46,2122.63,True,1,3.576983379331e-13,3.576983379331e-13,1.000000,inf,inf,D
11.0,V2V,flow_west.0,vehicle_0,-71.43,94.43,149.68,True,1,7.193387477029e-11,7.193387477029e-11,1.000000,inf,inf,D
11.0,V2V,flow_west.0,vehicle_1,-76.42,99.42,265.88,True,1,2.279767338981e-11,2.279767338981e-11,1.000000,inf,inf,D
11.0,V2V,flow_west.0,vehicle_2,-66.41,89.41,84.01,True,1,2.283331045561e-10,2.283331045561e-10,1.000000,inf,inf,D
11.0,V2V,vehicle_0,flow_east.0,-95.06,118.06,2271.90,True,1,3.122380213657e-13,3.122380213657e-13,1.000000,inf,inf,D
11.0,V2V,vehicle_0,flow_west.0,-71.43,94.43,149.68,True,1,7.193387477029e-11,7.193387477029e-11,1.000000,inf,inf,D
11.0,V2V,vehicle_0,vehicle_1,-69.24,92.24,116.37,True,1,1.190164579510e-10,1.190164579510e-10,1.000000,inf,inf,D
11.0,V2V,vehicle_0,vehicle_2,-75.26,98.26,232.63,True,1,2.977970025324e-11,2.977970025324e-11,1.000000,inf,inf,D
11.0,V2V,vehicle_1,flow_east.0,-95.49,118.49,2388.27,True,1,2.825521230823e-13,2.825521230823e-13,1.000000,inf,inf,D
11.0,V2V,vehicle_1,flow_west.0,-76.42,99.42,265.88,True,1,2.279767338981e-11,2.279767338981e-11,1.000000,inf,inf,D
11.0,V2V,vehicle_1,vehicle_0,-69.24,92.24,116.37,True,1,1.190164579510e-10,1.190164579510e-10,1.000000,inf,inf,D
11.0,V2V,vehicle_1,vehicle_2,-78.78,101.78,349.00,True,1,1.323163022181e-11,1.323163022181e-11,1.000000,inf,inf,D
11.0,V2V,vehicle_2,flow_east.0,-94.12,117.12,2039.27,True,1,3.875396729474e-13,3.875396729474e-13,1.000000,inf,inf,D
11.0,V2V,vehicle_2,flow_west.0,-66.41,89.41,84.01,True,1,2.283331045561e-10,2.283331045561e-10,1.000000,inf,inf,D
11.0,V2V,vehicle_2,vehicle_0,-75.26,98.26,232.63,True,1,2.977970025324e-11,2.977970025324e-11,1.000000,inf,inf,D
11.0,V2V,vehicle_2,vehicle_1,-78.78,101.78,349.00,True,1,1.323163022181e-11,1.323163022181e-11,1.000000,inf,inf,D
12.0,V2I,BS_1,flow_east.0,-84.46,114.46,1501.05,True,1,3.584883941359e-12,3.584883941359e-12,1.000000,inf,inf,D
12.0,V2I,BS_1,flow_west.0,-80.58,110.58,960.70,True,1,8.751541120582e-12,8.751541120582e-12,1.000000,inf,inf,D
12.0,V2I,BS_1,vehicle_0,-80.96,110.96,1003.25,True,1,8.025007125855e-12,8.025007125855e-12,1.000000,inf,inf,D
12.0,V2I,BS_1,vehicle_1,-81.80,111.80,1105.90,True,1,6.604339284466e-12,6.604339284466e-12,1.000000,inf,inf,D
12.0,V2I,BS_1,vehicle_2,-79.12,109.12,812.06,True,1,1.224865241561e-11,1.224865241561e-11,1.000000,inf,inf,D
12.0,V2V,flow_east.0,flow_west.0,-94.89,117.89,2228.33,True,1,3.245689250742e-13,3.245689250742e-13,1.000000,inf,inf,D
12.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2271.70,True,1,3.122930025280e-13,3.122930025280e-13,1.000000,inf,inf,D
12.0,V2V,flow_east.0,vehicle_1,-95.49,118.49,2389.33,True,1,2.822999007132e-13,2.822999007132e-13,1.000000,inf,inf,D
12.0,V2V,flow_east.0,vehicle_2,-94.11,117.11,2038.77,True,1,3.877297816051e-13,3.877297816051e-13,1.000000,inf,inf,D
12.0,V2V,flow_west.0,flow_east.0,-94.89,117.89,2228.33,True,1,3.245689250742e-13,3.245689250742e-13,1.000000,inf,inf,D
12.0,V2V,flow_west.0,vehicle_0,-60.93,83.93,44.69,True,1,8.068869525112e-10,8.068869525112e-10,1.000000,inf,inf,D
12.0,V2V,flow_west.0,vehicle_1,-72.08,95.08,161.39,True,1,6.187729305902e-11,6.187729305902e-11,1.000000,inf,inf,D
12.0,V2V,flow_west.0,vehicle_2,-73.49,96.49,189.83,True,1,4.472183862946e-11,4.472183862946e-11,1.000000,inf,inf,D
12.0,V2V,vehicle_0,flow_east.0,-95.05,118.05,2271.70,True,1,3.122930025280e-13,3.122930025280e-13,1.000000,inf,inf,D
12.0,V2V,vehicle_0,flow_west.0,-60.93,83.93,44.69,True,1,8.068869525112e-10,8.068869525112e-10,1.000000,inf,inf,D
12.0,V2V,vehicle_0,vehicle_1,-69.34,92.34,117.63,True,1,1.164671375989e-10,1.164671375989e-10,1.000000,inf,inf,D
12.0,V2V,vehicle_0,vehicle_2,-75.27,98.27,232.93,True,1,2.970304177883e-11,2.970304177883e-11,1.000000,inf,inf,D
12.0,V2V,vehicle_1,flow_east.0,-95.49,118.49,2389.33,True,1,2.822999007132e-13,2.822999007132e-13,1.000000,inf,inf,D
12.0,V2V,vehicle_1,flow_west.0,-72.08,95.08,161.39,True,1,6.187729305902e-11,6.187729305902e-11,1.000000,inf,inf,D
12.0,V2V,vehicle_1,vehicle_0,-69.34,92.34,117.63,True,1,1.164671375989e-10,1.164671375989e-10,1.000000,inf,inf,D
12.0,V2V,vehicle_1,vehicle_2,-78.82,101.82,350.57,True,1,1.311363135735e-11,1.311363135735e-11,1.000000,inf,inf,D
12.0,V2V,vehicle_2,flow_east.0,-94.11,117.11,2038.77,True,1,3.877297816051e-13,3.877297816051e-13,1.000000,inf,inf,D
12.0,V2V,vehicle_2,flow_west.0,-73.49,96.49,189.83,True,1,4.472183862946e-11,4.472183862946e-11,1.000000,inf,inf,D
12.0,V2V,vehicle_2,vehicle_0,-75.27,98.27,232.93,True,1,2.970304177883e-11,2.970304177883e-11,1.000000,inf,inf,D
12.0,V2V,vehicle_2,vehicle_1,-78.82,101.82,350.57,True,1,1.311363135735e-11,1.311363135735e-11,1.000000,inf,inf,D
13.0,V2I,BS_1,flow_east.0,-84.74,114.74,1551.14,True,1,3.357099956621e-12,3.357099956621e-12,1.000000,inf,inf,D
13.0,V2I,BS_1,flow_west.0,-80.98,110.98,1005.82,True,1,7.984132048957e-12,7.984132048957e-12,1.000000,inf,inf,D
13.0,V2I,BS_1,vehicle_0,-80.54,110.54,956.07,True,1,8.836528035222e-12,8.836528035222e-12,1.000000,inf,inf,D
13.0,V2I,BS_1,vehicle_1,-81.44,111.44,1061.16,True,1,7.172993668851e-12,7.172993668851e-12,1.000000,inf,inf,D
13.0,V2I,BS_1,vehicle_2,-78.66,108.66,770.62,True,1,1.360122747011e-11,1.360122747011e-11,1.000000,inf,inf,D
13.0,V2V,flow_east.0,flow_west.0,-95.29,118.29,2334.06,True,1,2.958291943226e-13,2.958291943226e-13,1.000000,inf,inf,D
13.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2269.47,True,1,3.129079466093e-13,3.129079466093e-13,1.000000,inf,inf,D
13.0,V2V,flow_east.0,vehicle_1,-95.50,118.50,2391.70,True,1,2.817414868597e-13,2.817414868597e-13,1.000000,inf,inf,D
13.0,V2V,flow_east.0,vehicle_2,-94.11,117.11,2037.43,True,1,3.882374224608e-13,3.882374224608e-13,1.000000,inf,inf,D
13.0,V2V,flow_west.0,flow_east.0,-95.29,118.29,2334.06,True,1,2.958291943226e-13,2.958291943226e-13,1.000000,inf,inf,D
13.0,V2V,flow_west.0,vehicle_0,-64.24,87.24,65.44,True,1,3.763166457031e-10,3.763166457031e-10,1.000000,inf,inf,D
13.0,V2V,flow_west.0,vehicle_1,-63.29,86.29,58.64,True,1,4.686018199793e-10,4.686018199793e-10,1.000000,inf,inf,D
13.0,V2V,flow_west.0,vehicle_2,-77.38,100.38,296.79,True,1,1.829618678097e-11,1.829618678097e-11,1.000000,inf,inf,D
13.0,V2V,vehicle_0,flow_east.0,-95.05,118.05,2269.47,True,1,3.129079466093e-13,3.129079466093e-13,1.000000,inf,inf,D
13.0,V2V,vehicle_0,flow_west.0,-64.24,87.24,65.44,True,1,3.763166457031e-10,3.763166457031e-10,1.000000,inf,inf,D
13.0,V2V,vehicle_0,vehicle_1,-69.67,92.67,122.23,True,1,1.078660806512e-10,1.078660806512e-10,1.000000,inf,inf,D
13.0,V2V,vehicle_0,vehicle_2,-75.24,98.24,232.03,True,1,2.993391018089e-11,2.993391018089e-11,1.000000,inf,inf,D
13.0,V2V,vehicle_1,flow_east.0,-95.50,118.50,2391.70,True,1,2.817414868597e-13,2.817414868597e-13,1.000000,inf,inf,D
13.0,V2V,vehicle_1,flow_west.0,-63.29,86.29,58.64,True,1,4.686018199793e-10,4.686018199793e-10,1.000000,inf,inf,D
13.0,V2V,vehicle_1,vehicle_0,-69.67,92.67,122.23,True,1,1.078660806512e-10,1.078660806512e-10,1.000000,inf,inf,D
13.0,V2V,vehicle_1,vehicle_2,-78.91,101.91,354.27,True,1,1.284114137068e-11,1.284114137068e-11,1.000000,inf,inf,D
13.0,V2V,vehicle_2,flow_east.0,-94.11,117.11,2037.43,True,1,3.882374224608e-13,3.882374224608e-13,1.000000,inf,inf,D
13.0,V2V,vehicle_2,flow_west.0,-77.38,100.38,296.79,True,1,1.829618678097e-11,1.829618678097e-11,1.000000,inf,inf,D
13.0,V2V,vehicle_2,vehicle_0,-75.24,98.24,232.03,True,1,2.993391018089e-11,2.993391018089e-11,1.000000,inf,inf,D
13.0,V2V,vehicle_2,vehicle_1,-78.91,101.91,354.27,True,1,1.284114137068e-11,1.284114137068e-11,1.000000,inf,inf,D
14.0,V2I,BS_1,flow_east.0,-85.01,115.01,1600.54,True,1,3.153045958448e-12,3.153045958448e-12,1.000000,inf,inf,D
14.0,V2I,BS_1,flow_west.0,-81.37,111.37,1051.76,True,1,7.301790646451e-12,7.301790646451e-12,1.000000,inf,inf,D
14.0,V2I,BS_1,vehicle_0,-80.14,110.14,913.13,True,1,9.687198167142e-12,9.687198167142e-12,1.000000,inf,inf,D
14.0,V2I,BS_1,vehicle_1,-81.07,111.07,1015.99,True,1,7.825060639616e-12,7.825060639616e-12,1.000000,inf,inf,D
14.0,V2I,BS_1,vehicle_2,-78.20,108.20,730.68,True,1,1.512918444760e-11,1.512918444760e-11,1.000000,inf,inf,D
14.0,V2V,flow_east.0,flow_west.0,-95.67,118.67,2439.02,True,1,2.709145324841e-13,2.709145324841e-13,1.000000,inf,inf,D
14.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2270.30,True,1,3.126782776090e-13,3.126782776090e-13,1.000000,inf,inf,D
14.0,V2V,flow_east.0,vehicle_1,-95.50,118.50,2391.97,True,1,2.816786708713e-13,2.816786708713e-13,1.000000,inf,inf,D
14.0,V2V,flow_east.0,vehicle_2,-94.10,117.10,2034.83,True,1,3.892301938797e-13,3.892301938797e-13,1.000000,inf,inf,D
14.0,V2V,flow_west.0,flow_east.0,-95.67,118.67,2439.02,True,1,2.709145324841e-13,2.709145324841e-13,1.000000,inf,inf,D
14.0,V2V,flow_west.0,vehicle_0,-72.49,95.49,169.04,True,1,5.640287714395e-11,5.640287714395e-11,1.000000,inf,inf,D
14.0,V2V,flow_west.0,vehicle_1,-61.59,84.59,48.23,True,1,6.929005218894e-10,6.929005218894e-10,1.000000,inf,inf,D
14.0,V2V,flow_west.0,vehicle_2,-80.06,103.06,404.31,True,1,9.859180840567e-12,9.859180840567e-12,1.000000,inf,inf,D
14.0,V2V,vehicle_0,flow_east.0,-95.05,118.05,2270.30,True,1,3.126782776090e-13,3.126782776090e-13,1.000000,inf,inf,D
14.0,V2V,vehicle_0,flow_west.0,-72.49,95.49,169.04,True,1,5.640287714395e-11,5.640287714395e-11,1.000000,inf,inf,D
14.0,V2V,vehicle_0,vehicle_1,-69.63,92.63,121.67,True,1,1.088732004790e-10,1.088732004790e-10,1.000000,inf,inf,D
14.0,V2V,vehicle_0,vehicle_2,-75.37,98.37,235.47,True,1,2.906734314463e-11,2.906734314463e-11,1.000000,inf,inf,D
14.0,V2V,vehicle_1,flow_east.0,-95.50,118.50,2391.97,True,1,2.816786708713e-13,2.816786708713e-13,1.000000,inf,inf,D
14.0,V2V,vehicle_1,flow_west.0,-61.59,84.59,48.23,True,1,6.929005218894e-10,6.929005218894e-10,1.000000,inf,inf,D
14.0,V2V,vehicle_1,vehicle_0,-69.63,92.63,121.67,True,1,1.088732004790e-10,1.088732004790e-10,1.000000,inf,inf,D
14.0,V2V,vehicle_1,vehicle_2,-78.98,101.98,357.13,True,1,1.263582011577e-11,1.263582011577e-11,1.000000,inf,inf,D
14.0,V2V,vehicle_2,flow_east.0,-94.10,117.10,2034.83,True,1,3.892301938797e-13,3.892301938797e-13,1.000000,inf,inf,D
14.0,V2V,vehicle_2,flow_west.0,-80.06,103.06,404.31,True,1,9.859180840567e-12,9.859180840567e-12,1.000000,inf,inf,D
14.0,V2V,vehicle_2,vehicle_0,-75.37,98.37,235.47,True,1,2.906734314463e-11,2.906734314463e-11,1.000000,inf,inf,D
14.0,V2V,vehicle_2,vehicle_1,-78.98,101.98,357.13,True,1,1.263582011577e-11,1.263582011577e-11,1.000000,inf,inf,D
15.0,V2I,BS_1,flow_east.0,-85.28,115.28,1650.44,True,1,2.965273878438e-12,2.965273878438e-12,1.000000,inf,inf,D
15.0,V2I,BS_1,flow_west.0,-81.74,111.74,1098.26,True,1,6.696642788506e-12,6.696642788506e-12,1.000000,inf,inf,D
15.0,V2I,BS_1,vehicle_0,-79.70,109.70,868.23,True,1,1.071500940309e-11,1.071500940309e-11,1.000000,inf,inf,D
15.0,V2I,BS_1,vehicle_1,-80.68,110.68,971.83,True,1,8.552237863289e-12,8.552237863289e-12,1.000000,inf,inf,D
15.0,V2I,BS_1,vehicle_2,-77.75,107.75,693.26,True,1,1.680621054261e-11,1.680621054261e-11,1.000000,inf,inf,D
15.0,V2V,flow_east.0,flow_west.0,-96.04,119.04,2544.26,True,1,2.489675234546e-13,2.489675234546e-13,1.000000,inf,inf,D
15.0,V2V,flow_east.0,vehicle_0,-95.04,118.04,2267.90,True,1,3.133404099213e-13,3.133404099213e-13,1.000000,inf,inf,D
15.0,V2V,flow_east.0,vehicle_1,-95.51,118.51,2392.97,True,1,2.814432979184e-13,2.814432979184e-13,1.000000,inf,inf,D
15.0,V2V,flow_east.0,vehicle_2,-94.09,117.09,2033.30,True,1,3.898174605543e-13,3.898174605543e-13,1.000000,inf,inf,D
15.0,V2V,flow_west.0,flow_east.0,-96.04,119.04,2544.26,True,1,2.489675234546e-13,2.489675234546e-13,1.000000,inf,inf,D
15.0,V2V,flow_west.0,vehicle_0,-76.76,99.76,276.54,True,1,2.107419690645e-11,2.107419690645e-11,1.000000,inf,inf,D
15.0,V2V,flow_west.0,vehicle_1,-71.54,94.54,151.64,True,1,7.008475776016e-11,7.008475776016e-11,1.000000,inf,inf,D
15.0,V2V,flow_west.0,vehicle_2,-82.10,105.10,511.04,True,1,6.170871355524e-12,6.170871355524e-12,1.000000,inf,inf,D
